Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_hull,0.079791,0.00053586,0.50523,0,0,0,244.28,11.115,-0.096705,-0.50862,73.155,-0.0015324,72.152,0,0,0,0,0,0,package://polaris/meshes/base_hull.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://polaris/meshes/base_hull.STL,,PLRS_HU_HULL_E_REVE-3;PLRS_SA_FULL_E_REVA-1/SA_MASTBOX_ASSY_A_REVG-1/5537T108_T-Slotted Framing-1;PLRS_SA_FULL_E_REVA-1/SA_MASTBOX_ASSY_A_REVG-1/5537T108_T-Slotted Framing-2;PLRS_SA_FULL_E_REVA-1/SA_MASTBOX_ASSY_A_REVG-1/5537T108_T-Slotted Framing-3;PLRS_SA_FULL_E_REVA-1/SA_MASTBOX_ASSY_A_REVG-1/5537T108_T-Slotted Framing-4;PLRS_SA_FULL_E_REVA-1/SA_MASTBOX_ASSY_A_REVG-1/PLRS_SA_BushingPlate3-5;PLRS_SA_FULL_E_REVA-1/SA_MASTBOX_ASSY_A_REVG-1/PLRS_SA_BushingPlate-6;PLRS_SA_FULL_E_REVA-1/SA_MASTBOX_ASSY_A_REVG-1/PLRS_SA_MastBushings-1;PLRS_SA_FULL_E_REVA-1/SA_MASTBOX_ASSY_A_REVG-1/PLRS_SA_MastBushings-2;PLRS_SA_FULL_E_REVA-1/SA_MASTBOX_ASSY_A_REVG-1/MASTBOX_WASHER&COLLAR-1;PLRS_SA_FULL_E_REVA-1/SA_MASTBOX_ASSY_A_REVG-1/MASTBOX_WASHER&COLLAR-2;PLRS_RU_ASSY_B-2/PLRS_RU_STUFFINGBOX_A_REVB-1/PLRS_RU_BOTTOM_BUSHING_REVA-1/RUDDER_HOUSING-1;PLRS_RU_ASSY_B-2/PLRS_RU_STUFFINGBOX_A_REVB-1/PLRS_RU_BOTTOM_BUSHING_REVA-1/PLRS_RU_PLATE_A_REVA (1)-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_rudder,0.051296,0.0099805,-0.074335,0,0,0,0.28508,0.0093841,2.11E-05,0.0034418,0.011395,4.5738E-06,0.0020393,0,0,0,0,0,0,package://polaris/meshes/link_rudder.STL,1,1,1,1,0,0,0,0,0,0,package://polaris/meshes/link_rudder.STL,,PLRS_RU_ASSY_B-2/PLRS_RU_STUFFINGBOX_A_REVB-1/PLRS_RU_TIP_A_REVC-1;PLRS_RU_ASSY_B-2/PLRS_RU_STUFFINGBOX_A_REVB-1/PLRS_RU_CARBON_SHAFT_REVA-1,Rudder_coord_sys,Rudder_axis,joint_rudder,revolute,-1.282,-0.0090126,1.08,0,0,0,base_hull,0.35837,0,-0.93358,100000,10000,-0.523599,0.523599,,,,,,,,
link_wingsail,0.48309,0.11001,0.01352,0,0,0,22.122,5.9349,-2.1133E-06,0.020465,6.3216,-4.5614E-05,0.41093,0,0,0,0,0,0,package://polaris/meshes/link_wingsail.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://polaris/meshes/link_wingsail.STL,,PLRS_SA_FULL_E_REVA-1/PLRS_SA_COUNTERW_ASSY_E_REVA-1;PLRS_SA_FULL_E_REVA-1/Ribs&Shell CAD-1;PLRS_SA_FULL_E_REVA-1/SA_MASTBOX_ASSY_A_REVG-1/PLRS_SA_MAST-1;PLRS_SA_FULL_E_REVA-1/PLRS_SA_TT_ASM_F_REVE-1/PLRS_SA_TT_MotorBox_ASM_C_REVE-1;PLRS_SA_FULL_E_REVA-1/PLRS_SA_TT_ASM_F_REVE-1/PLRS_SA_TT_Carbon1.2mStrutRound-1;PLRS_SA_FULL_E_REVA-1/PLRS_SA_TT_ASM_F_REVE-1/PLRS_SA_TT_BottomStrut_Connector-1;PLRS_SA_FULL_E_REVA-1/PLRS_SA_TT_ASM_F_REVE-1/PLRS_SA_TT_BottomBushing-1;PLRS_SA_FULL_E_REVA-1/PLRS_SA_TT_ASM_F_REVE-1/PLRS_SA_TT_Carbon1.2mStrutRound-2;PLRS_SA_FULL_E_REVA-1/PLRS_SA_TT_ASM_F_REVE-1/PLRS_SA_TT_Collar-1;PLRS_SA_FULL_E_REVA-1/PLRS_SA_TT_ASM_F_REVE-1/PLRS_SA_TT_Collar-2;PLRS_SA_FULL_E_REVA-1/PLRS_SA_TT_ASM_F_REVE-1/35mm shaft collar-1;PLRS_SA_FULL_E_REVA-1/PLRS_SA_TT_ASM_F_REVE-1/35mm shaft collar-2,Wingsail_coord_sys,Wingsail_axis,joint_wingsail,continuous,-0.18951,-0.11,-1.522,0,0,0,base_hull,0,0,-1,,,,,,,,,,,,
link_trim_tab,0.012277,-0.021796,-5.8647E-06,0,0,0,0.39689,0.013826,0.00039851,1.4415E-07,0.015866,-2.3939E-08,0.0023654,0,0,0,0,0,0,package://polaris/meshes/link_trim_tab.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://polaris/meshes/link_trim_tab.STL,,PLRS_SA_FULL_E_REVA-1/PLRS_SA_TT_ASM_F_REVE-1/PLRS_SA_TT_Shell_E_REVH-1,Trim_tab_coord_sys,Trim_tab_axis,joint_trim_tab,revolute,-1.3637,0.14258,-0.42606,0,0,0,link_wingsail,0,0,-1,100000,1000,-0.5236,0.5236,,,,,,,,
